행정동,순찰장소,address,description,중점 활동사항
강매동,강매동 단독주택 일대,경기도 고양시 덕양구 강매동 188-4,"#### [112신고]
- 강매동 2024년 4월 112신고 29건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 2건, 폭력 0건
#### [활동 시 주요 착안내용]
112신고, 5대범죄 발생이 적은 장소입니다.",
고양동,고양동 시장 인근,경기도 고양시 덕양구 고양동 131,"#### [112신고]
- 고양동 2024년 4월 112신고 403건 발생
#### [5대범죄]
- 5대범죄는 총 16건 발생
- 성범죄 0건, 절도 4건, 폭력 12건
#### [활동 시 주요 착안내용]
무인점포 절도예방활동 및 가시적 순찰을 통한 폭력 예방이 필요한 장소입니다.",
관산동,관산 한승미메이드 아파트 인근,경기도 고양시 덕양구 관산동 228-2,"#### [112신고]
- 관산동 2024년 4월 112신고 402건 발생
#### [5대범죄]
- 5대범죄는 총 15건 발생
- 성범죄 0건, 절도 4건, 폭력 11건
#### [활동 시 주요 착안내용]
- 소액 절도가 많이 발생하는 지역이며 가시적인 순찰활동을 통해 폭력예방이 필요합니다.",
내곡동,대곡초등학교 뒷편,경기도 고양시 덕양구 내곡동 64-4,"#### [112신고]
- 내곡동 2024년 4월 112신고 17건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 2건, 폭력 0건
#### [활동 시 주요 착안내용]
112신고, 5대범죄 발생이 모두 적은곳입니다.",
내유동,관산파출소 여성안심귀갓길 일대,경기도 고양시 덕양구 내유동 646-48,"#### [112신고]
- 내유동 2024년 4월 112신고 240건 발생
#### [5대범죄]
- 5대범죄는 총 6건 발생
- 성범죄 1건, 절도 0건, 폭력 5건
#### [활동 시 주요 착안내용]
- 가시적 순찰활동을 통해 폭력예방이 필요한 지역입니다.",
대자동,필리핀 참전비 일대,경기도 고양시 덕양구 대자동 1145,"#### [112신고]
- 대자동 2024년 4월 112신고 100건 발생
#### [5대범죄]
- 5대범죄는 총 4건 발생
- 성범죄 0건, 절도 1건, 폭력 3건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
대장동,상중대장 2공원 일대,경기도 고양시 덕양구 대장동 316-2,"#### [112신고]
- 대장동 2024년 4월 112신고 71건 발생
#### [5대범죄]
- 5대범죄는 총 2건 발생
- 성범죄 0건, 절도 0건, 폭력 2건
#### [활동 시 주요 착안내용]
- 112신고, 5대범죄 발생이 모두 적은곳입니다.",
덕은동,DMC자이 아파트 일대,경기도 고양시 덕양구 덕은동 712,"#### [112신고]
- 덕은동 2024년 4월 112신고 242건 발생
#### [5대범죄]
- 5대범죄는 총 11건 발생
- 성범죄 0건, 절도 4건, 폭력 7건
#### [활동 시 주요 착안내용]
- 아파트 건설로 인한 거주인구 증가로 인해 112신고, 범죄발생이 증가하는 장소입니다. ",
도내동,원흥 베네하임 5차 일대,경기도 고양시 덕양구 도내동 951,"#### [112신고]
- 도내동 2024년 4월 112신고 275건 발생
#### [5대범죄]
- 5대범죄는 총 16건 발생
- 성범죄 1건, 절도 6건, 폭력 9건
#### [활동 시 주요 착안내용]
- 폭력이 가장 많이 발생하였으며 절도, 성범죄 순으로 발생하였습니다.",
동산동,e편한 세상 삼송3차 인근,경기도 고양시 덕양구 동산동 110-5,"#### [112신고]
- 동산동 2024년 4월 112신고 231건 발생
#### [5대범죄]
- 5대범죄는 총 30건 발생
- 성범죄 0건, 절도 21건, 폭력 8건
#### [활동 시 주요 착안내용]
- 타 지역 대비 절도가 압도적으로 많은 장소로 절도예방 위주 활동이 필요",
